createdBy|createdAt|updatedBy|updatedAt|transactionID|transactionType|transactionAmount|transactionDescription|transactionOverseas|transactionBankAccID|transactionBankAccInitialAmount|transactionBankAccFinalAmount|executedOnAtm|AtmID|executedOnPurchase|transactionTargetBankAccID
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269479095|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269479095|aa26b493-fa54-4ac5-b8d8-cd7dd80b4055|0|10.0|Withdrawal of SGD 10.00 at ATM 4206969-01|0|0093109751-010101|1386.00|1376.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269485844|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269485844|f92123de-58f9-4f95-8465-c813257d1e03|1|1230.0|Deposit of SGD 1230.00 at ATM 4206969-01|0|0093109751-010101|1376.00|2606.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|d6ab07fd-b747-4eee-a765-f06941a51a20|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|2606.00|2506.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|74892ce8-54b2-4996-afda-0295de12f873|2|75.0|Receipt: x1 Klee Dakimakura|0|0093109751-010101|2506.00|2431.00|0||1|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648269493287|ad6cc27b-0529-47a8-a3ae-78a34f3c4254|2|260.0|Receipt: x520 Cat Posters|0|0093109751-010101|2431.00|2171.00|0||1|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288044562|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288044562|d68a654b-2f88-4029-b405-d5f2624dbcfd|0|50.0|Withdrawal of SGD 50.00 at ATM 4206969-01|0|0093109751-010101|2171.00|2121.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288057448|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288057448|d42734a6-48f5-4e5c-86a1-129627b08e57|0|50.0|Withdrawal of SGD 50.00 at ATM 4206969-01|0|0093109751-010101|2121.00|2071.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288063494|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288063494|19ca283e-6abe-40cc-b3f3-7c3cc59f0500|0|20.0|Withdrawal of SGD 20.00 at ATM 4206969-01|0|0093109751-010101|2071.00|2051.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288066306|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288066306|f5a487b7-71b1-4535-baff-d65cc7f177d5|0|50.0|Withdrawal of SGD 50.00 at ATM 4206969-01|0|0093109751-010101|2051.00|2001.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288100421|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288100421|3c894ce4-33e8-4d9e-bcbc-c874d5530cc5|0|20.0|Withdrawal of SGD 20.00 at ATM 4206969-01|0|0093109751-010101|2001.00|1981.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288104867|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288104867|2362d46a-6b21-44d2-988b-44dfa5f7f6a9|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|1981.00|1881.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288106899|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288106899|37ba067c-a39b-42e1-be1e-c5790ec29505|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|1881.00|1781.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288109632|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288109632|f2bf18ef-898f-413c-9354-7471d3186824|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|1781.00|1681.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288112119|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288112119|33c9bf5c-df37-4949-89a2-3fdd357f7130|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|1681.00|1581.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288114673|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288114673|5d27b44e-63bd-4022-a82c-2718ea7aa939|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|1581.00|1481.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288134849|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288134849|a28e3899-5745-49a7-89b1-2cf4f1378e1e|0|1000.0|Withdrawal of SGD 1000.00 at ATM 4206969-01|0|0093109751-010101|1481.00|481.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288147698|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288147698|a1bf1d82-596c-4fb2-8440-e4dcf38418ac|0|50.0|Withdrawal of SGD 50.00 at ATM 4206969-01|0|0093109751-010101|481.00|431.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288150477|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288150477|04e1e133-501d-4616-8d72-dce7fb91fc95|0|100.0|Withdrawal of SGD 100.00 at ATM 4206969-01|0|0093109751-010101|431.00|331.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288164728|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288164728|1efff659-89ae-44a5-b0e9-b63dfad4f51d|0|120.0|Withdrawal of SGD 120.00 at ATM 4206969-01|0|0093109751-010101|331.00|211.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288177400|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648288177400|52dc5465-953c-4626-a62e-b70940233c2d|1|210.0|Deposit of SGD 210.00 at ATM 4206969-01|0|0093109751-010101|211.00|421.00|1|4206969-01|0|
9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648295221246|9a4b83a1-aabf-4fa7-9653-b31acc3ca3f7|1648295221246|e3ce431b-590d-4231-b8ee-bfd665891933|0|10.0|Withdrawal of SGD 10.00 at ATM 4206969-01|0|0093109751-010101|421.00|411.00|1|4206969-01|0|
